virus_protein_id,rank,human_protein_id,distance,similarity,cluster_id,primary_cluster,embedding_similarity,virus_mimicry_score
sp|P03081|ST_SV40,4,sp|Q9NVM6|DJC17_HUMAN,0.292048,0.707952,347,728,0.368732,0.538342
sp|P03084|AGNO_SV40,1,sp|Q16612|NREP_HUMAN,0.086837,0.913163,36,36,0.460577,0.686870
sp|P03084|AGNO_SV40,3,sp|C0HLU2|SEHBP_HUMAN,0.120540,0.879460,36,36,0.400760,0.640110
sp|P03084|AGNO_SV40,5,sp|P61581|NP24_HUMAN,0.143797,0.856203,36,36,0.400709,0.628456
sp|P0C6L2|SELP_SV40,1,sp|Q8IVG9|HUNIN_HUMAN,0.109024,0.890976,36,36,0.357007,0.623992
sp|P0C6L2|SELP_SV40,2,sp|P0DUH7|HRURF_HUMAN,0.120320,0.879680,36,36,0.452090,0.665885
sp|P0C6L2|SELP_SV40,5,sp|O97980|HMHB1_HUMAN,0.145466,0.854534,36,36,0.285676,0.570105
sp|P03107|VL2_HPV16,1,sp|Q96JM3|CHAP1_HUMAN,0.337592,0.662408,797,797,0.304943,0.483676
sp|P03107|VL2_HPV16,2,sp|Q7L311|ARMX2_HUMAN,0.337835,0.662165,797,797,0.283644,0.472904
sp|P03107|VL2_HPV16,3,sp|Q96D71|REPS1_HUMAN,0.342919,0.657081,797,797,0.281366,0.469223
sp|P03107|VL2_HPV16,4,sp|Q6E0U4|DMKN_HUMAN,0.343235,0.656765,797,797,0.315724,0.486244
sp|P03107|VL2_HPV16,5,sp|Q9UMZ2|SYNRG_HUMAN,0.350880,0.649120,797,797,0.382002,0.515561
sp|P03120|VE2_HPV16,1,sp|P52630|STAT2_HUMAN,0.202111,0.797889,768,765,0.380626,0.589257
sp|P03120|VE2_HPV16,2,sp|Q00653|NFKB2_HUMAN,0.248092,0.751908,768,765,0.376009,0.563958
sp|P03126|VE6_HPV16,2,sp|P21580|TNAP3_HUMAN,0.195304,0.804696,841,841,0.398915,0.601806
sp|P03126|VE6_HPV16,3,sp|O75643|U520_HUMAN,0.198134,0.801866,841,841,0.347445,0.574656
sp|P03126|VE6_HPV16,4,sp|Q9UJX5|APC4_HUMAN,0.198635,0.801365,841,841,0.498061,0.649713
sp|P03126|VE6_HPV16,5,sp|Q92624|APBP2_HUMAN,0.199931,0.800069,841,841,0.407835,0.603952
sp|P03129|VE7_HPV16,1,sp|Q56P03|EAPP_HUMAN,0.319559,0.680441,322,322,0.573505,0.626973
sp|P03129|VE7_HPV16,3,sp|P53621|COPA_HUMAN,0.336010,0.663990,583,322,0.168716,0.416353
sp|P03129|VE7_HPV16,4,sp|Q8TCG1|CIP2A_HUMAN,0.341299,0.658701,583,322,0.439701,0.549201
sp|P03129|VE7_HPV16,5,sp|Q8N3P4|VPS8_HUMAN,0.349377,0.650623,583,322,0.327411,0.489017
sp|P06922|VE4_HPV16,4,sp|Q6W0C5|DPPA3_HUMAN,0.229123,0.770877,37,37,0.387710,0.579293
sp|P03101|VL1_HPV16,1,sp|P55160|NCKPL_HUMAN,0.336162,0.663838,811,811,0.226744,0.445291
sp|P03101|VL1_HPV16,2,sp|Q15561|TEAD4_HUMAN,0.357292,0.642708,811,811,0.213961,0.428334
sp|P03101|VL1_HPV16,3,sp|P28347|TEAD1_HUMAN,0.362581,0.637419,811,811,0.210135,0.423777
sp|P03101|VL1_HPV16,4,sp|Q96ST3|SIN3A_HUMAN,0.362627,0.637373,811,811,0.196985,0.417179
sp|P03101|VL1_HPV16,5,sp|Q01432|AMPD3_HUMAN,0.370024,0.629976,811,811,0.111596,0.370786
sp|P03114|VE1_HPV16,1,sp|Q8N122|RPTOR_HUMAN,0.129739,0.870261,841,841,0.237667,0.553964
sp|P03114|VE1_HPV16,2,sp|Q93063|EXT2_HUMAN,0.130050,0.869950,841,841,0.308776,0.589363
sp|P03114|VE1_HPV16,3,sp|O75643|U520_HUMAN,0.131201,0.868799,841,841,0.393644,0.631222
sp|P03114|VE1_HPV16,4,sp|Q9ULP0|NDRG4_HUMAN,0.131490,0.868510,841,841,0.201434,0.534972
sp|P03114|VE1_HPV16,5,sp|P52848|NDST1_HUMAN,0.131599,0.868401,841,841,0.285896,0.577148
sp|P06927|VE5_HPV16,1,sp|H0YL14|TM250_HUMAN,0.145675,0.854325,36,36,0.498232,0.676278
sp|P06927|VE5_HPV16,3,sp|Q6ZPB5|SDIM1_HUMAN,0.175113,0.824887,36,36,0.345398,0.585143
sp|P0DKA0|VE8E2_HPV16,1,sp|P52630|STAT2_HUMAN,0.313901,0.686099,768,765,0.456315,0.571207
sp|P0DKA0|VE8E2_HPV16,4,sp|Q00653|NFKB2_HUMAN,0.336632,0.663368,768,765,0.417942,0.540655
sp|A5HBE1|VP2_POVWU,3,sp|Q6Y2X3|DJC14_HUMAN,0.279991,0.720009,410,410,0.293400,0.506704
sp|A5HBE1|VP2_POVWU,4,sp|P55082|MFAP3_HUMAN,0.295664,0.704336,410,410,0.301905,0.503121
sp|A5HBE1|VP2_POVWU,5,sp|Q01196|RUNX1_HUMAN,0.310695,0.689305,410,410,0.286387,0.487846
sp|A5HBG1|LT_POVWU,1,sp|P11388|TOP2A_HUMAN,0.276029,0.723971,582,582,0.347263,0.535617
sp|A5HBG1|LT_POVWU,2,sp|Q02880|TOP2B_HUMAN,0.279563,0.720437,582,582,0.324094,0.522266
sp|A5HBG1|LT_POVWU,3,sp|P11387|TOP1_HUMAN,0.283108,0.716892,582,582,0.381910,0.549401
sp|A5HBG1|LT_POVWU,4,sp|P35251|RFC1_HUMAN,0.286070,0.713930,582,582,0.400564,0.557247
sp|A5HBG1|LT_POVWU,5,sp|Q13547|HDAC1_HUMAN,0.288138,0.711862,582,582,0.304066,0.507964
sp|A5HBD5|VP1_POVWU,2,sp|P47874|OMP_HUMAN,0.177086,0.822914,37,37,0.222061,0.522488
sp|A5HBD5|VP1_POVWU,3,sp|Q92561|PHYIP_HUMAN,0.185579,0.814421,37,37,0.269558,0.541990
sp|A5HBD5|VP1_POVWU,5,sp|O15145|ARPC3_HUMAN,0.191613,0.808387,37,37,0.319310,0.563848
sp|A5HBD7|ST_POVWU,2,sp|Q9H3Z4|DNJC5_HUMAN,0.270101,0.729899,252,728,0.324502,0.527201
sp|A5HBD7|ST_POVWU,3,sp|Q9H819|DJC18_HUMAN,0.275854,0.724146,252,728,0.504449,0.614298
sp|A5HBD7|ST_POVWU,4,sp|Q9UKB3|DJC12_HUMAN,0.285516,0.714484,728,728,0.311960,0.513222
sp|A5HBD7|ST_POVWU,5,sp|Q8TBM8|DJB14_HUMAN,0.305396,0.694604,252,728,0.332444,0.513524
sp|P17382|VE1_HPV31,1,sp|Q9HD40|SPCS_HUMAN,0.241613,0.758387,599,599,0.264457,0.511422
sp|P17382|VE1_HPV31,2,sp|P00338|LDHA_HUMAN,0.252548,0.747452,599,599,0.149663,0.448557
sp|P17382|VE1_HPV31,3,sp|P0DUB6|AMY1A_HUMAN,0.253884,0.746116,599,599,0.191986,0.469051
sp|P17382|VE1_HPV31,4,sp|P0DTE8|AMY1C_HUMAN,0.253884,0.746116,599,599,0.191762,0.468939
sp|P17382|VE1_HPV31,5,sp|P0DTE7|AMY1B_HUMAN,0.253884,0.746116,599,599,0.191720,0.468918
sp|P17387|VE7_HPV31,1,sp|Q56P03|EAPP_HUMAN,0.321924,0.678076,322,322,0.528177,0.603126
sp|P17387|VE7_HPV31,3,sp|Q8TCG1|CIP2A_HUMAN,0.336878,0.663122,583,322,0.418961,0.541042
sp|P17387|VE7_HPV31,4,sp|P53621|COPA_HUMAN,0.344533,0.655467,583,322,0.175022,0.415245
sp|P17387|VE7_HPV31,5,sp|Q8N3P4|VPS8_HUMAN,0.345636,0.654364,583,322,0.276652,0.465508
sp|P17383|VE2_HPV31,2,sp|Q8TCG1|CIP2A_HUMAN,0.318660,0.681340,583,583,0.362437,0.521888
sp|P17383|VE2_HPV31,3,sp|Q8N3P4|VPS8_HUMAN,0.321494,0.678506,583,583,0.352512,0.515509
sp|P17386|VE6_HPV31,1,sp|Q8N3P4|VPS8_HUMAN,0.344842,0.655158,583,583,0.324646,0.489902
sp|P17386|VE6_HPV31,3,sp|P53621|COPA_HUMAN,0.361278,0.638722,583,583,0.136148,0.387435
sp|P17388|VL1_HPV31,1,sp|P55160|NCKPL_HUMAN,0.342620,0.657380,811,811,0.227393,0.442387
sp|P17388|VL1_HPV31,2,sp|Q15561|TEAD4_HUMAN,0.361962,0.638038,811,811,0.214941,0.426490
sp|P17388|VL1_HPV31,3,sp|P28347|TEAD1_HUMAN,0.362737,0.637263,811,811,0.211077,0.424170
sp|P17388|VL1_HPV31,4,sp|Q96ST3|SIN3A_HUMAN,0.367658,0.632342,811,811,0.197767,0.415054
sp|P17388|VL1_HPV31,5,sp|Q01432|AMPD3_HUMAN,0.373353,0.626647,811,811,0.112828,0.369737
sp|P17389|VL2_HPV31,1,sp|Q4ZHG4|FNDC1_HUMAN,0.377462,0.622538,885,885,0.275128,0.448833
sp|P17389|VL2_HPV31,3,sp|Q9UBS9|SUCO_HUMAN,0.401896,0.598104,885,885,0.313511,0.455808
sp|P17389|VL2_HPV31,4,sp|O75339|CILP1_HUMAN,0.405255,0.594745,885,885,0.317790,0.456267
sp|P17389|VL2_HPV31,5,sp|Q08397|LOXL1_HUMAN,0.405588,0.594412,885,885,0.299026,0.446719
sp|P0DKB0|VE8E2_HPV31,1,sp|P49792|RBP2_HUMAN,0.329322,0.670678,423,423,0.403511,0.537094
sp|P0DKB0|VE8E2_HPV31,2,sp|O60673|REV3L_HUMAN,0.336313,0.663687,423,423,0.344854,0.504271
sp|P17384|VE4_HPV31,3,sp|Q01196|RUNX1_HUMAN,0.273509,0.726491,410,410,0.344231,0.535361
sp|P17384|VE4_HPV31,4,sp|Q13761|RUNX3_HUMAN,0.274295,0.725705,410,410,0.344086,0.534895
sp|P17384|VE4_HPV31,5,sp|Q9NP62|GCM1_HUMAN,0.279202,0.720798,410,410,0.374835,0.547816
sp|P06463|VE6_HPV18,1,sp|O95163|ELP1_HUMAN,0.328796,0.671204,583,583,0.373289,0.522246
sp|P06463|VE6_HPV18,3,sp|Q8N3P4|VPS8_HUMAN,0.347001,0.652999,583,583,0.324758,0.488878
sp|P06463|VE6_HPV18,4,sp|P53621|COPA_HUMAN,0.351882,0.648118,583,583,0.136042,0.392080
sp|P06789|VE1_HPV18,1,sp|P11388|TOP2A_HUMAN,0.300431,0.699569,582,582,0.426090,0.562830
sp|P06789|VE1_HPV18,2,sp|Q02880|TOP2B_HUMAN,0.317049,0.682951,582,582,0.416769,0.549860
sp|P06789|VE1_HPV18,3,sp|Q8WUF8|ARB2A_HUMAN,0.319704,0.680296,582,582,0.333502,0.506899
sp|P06789|VE1_HPV18,4,sp|Q13547|HDAC1_HUMAN,0.327585,0.672415,582,582,0.263765,0.468090
sp|P06789|VE1_HPV18,5,sp|P35251|RFC1_HUMAN,0.331550,0.668450,582,582,0.548589,0.608519
sp|P06788|VE7_HPV18,1,sp|O75592|MYCB2_HUMAN,0.287712,0.712288,423,322,0.413507,0.562897
sp|P06788|VE7_HPV18,2,sp|Q9Y4E5|ZN451_HUMAN,0.293430,0.706570,423,322,0.490354,0.598462
sp|P06788|VE7_HPV18,3,sp|Q56P03|EAPP_HUMAN,0.298231,0.701769,322,322,0.574946,0.638358
sp|P06788|VE7_HPV18,4,sp|P46019|KPB2_HUMAN,0.299391,0.700609,423,322,0.240677,0.470643
sp|P06788|VE7_HPV18,5,sp|Q5T4S7|UBR4_HUMAN,0.301954,0.698046,423,322,0.364495,0.531271
sp|P06790|VE2_HPV18,3,sp|O95163|ELP1_HUMAN,0.331539,0.668461,583,583,0.407427,0.537944
sp|P06790|VE2_HPV18,5,sp|Q8WUM0|NU133_HUMAN,0.333771,0.666229,583,583,0.268983,0.467606
sp|P06793|VL2_HPV18,1,sp|Q4ZHG4|FNDC1_HUMAN,0.379358,0.620642,885,386,0.275067,0.447855
sp|P06793|VL2_HPV18,2,sp|Q9C0C7|AMRA1_HUMAN,0.381792,0.618208,386,386,0.312831,0.465519
sp|P06793|VL2_HPV18,3,sp|Q08397|LOXL1_HUMAN,0.409092,0.590908,885,386,0.298970,0.444939
sp|P06793|VL2_HPV18,5,sp|O75339|CILP1_HUMAN,0.420417,0.579583,885,386,0.317793,0.448688
sp|P06791|VE4_HPV18,2,sp|Q13761|RUNX3_HUMAN,0.309852,0.690148,410,410,0.344126,0.517137
sp|P06791|VE4_HPV18,3,sp|Q01196|RUNX1_HUMAN,0.311527,0.688473,410,410,0.344279,0.516376
sp|P06791|VE4_HPV18,5,sp|Q13950|RUNX2_HUMAN,0.326887,0.673113,410,410,0.342880,0.507997
sp|P06794|VL1_HPV18,1,sp|O75339|CILP1_HUMAN,0.292780,0.707220,885,885,0.227188,0.467204
sp|P06794|VL1_HPV18,2,sp|Q9C0B6|BRNP2_HUMAN,0.319641,0.680359,885,885,0.213111,0.446735
sp|P06794|VL1_HPV18,3,sp|Q9H7T0|CTSRB_HUMAN,0.323031,0.676969,885,885,0.244845,0.460907
sp|P06794|VL1_HPV18,4,sp|Q76B58|BRNP3_HUMAN,0.323512,0.676488,885,885,0.239019,0.457754
sp|P06794|VL1_HPV18,5,sp|Q8IUL8|CILP2_HUMAN,0.334563,0.665437,885,885,0.225719,0.445578
sp|P0DKA6|VE8E2_HPV18,2,sp|P49792|RBP2_HUMAN,0.329622,0.670378,423,423,0.402882,0.536630
sp|P03072|LT_POVJC,1,sp|Q01432|AMPD3_HUMAN,0.264493,0.735507,811,811,0.269516,0.502511
sp|P03072|LT_POVJC,2,sp|Q01433|AMPD2_HUMAN,0.287503,0.712497,811,811,0.270020,0.491259
sp|P03072|LT_POVJC,3,sp|P23109|AMPD1_HUMAN,0.290228,0.709772,811,811,0.269516,0.489644
sp|P03072|LT_POVJC,4,sp|P28347|TEAD1_HUMAN,0.297928,0.702072,811,811,0.454622,0.578347
sp|P03072|LT_POVJC,5,sp|Q99594|TEAD3_HUMAN,0.298295,0.701705,811,811,0.446543,0.574124
sp|P03086|AGNO_POVJC,2,sp|Q16612|NREP_HUMAN,0.062108,0.937892,36,36,0.451021,0.694456
sp|P03086|AGNO_POVJC,4,sp|C0HLU2|SEHBP_HUMAN,0.100520,0.899480,36,36,0.398742,0.649111
sp|P03089|VP1_POVJC,2,sp|P47874|OMP_HUMAN,0.117986,0.882014,37,37,0.248664,0.565339
sp|P03089|VP1_POVJC,3,sp|O15145|ARPC3_HUMAN,0.124235,0.875765,37,37,0.279756,0.577760
sp|P03089|VP1_POVJC,4,sp|Q92561|PHYIP_HUMAN,0.138505,0.861495,37,37,0.263666,0.562581
sp|P03095|VP2_POVJC,1,sp|Q5T9A4|ATD3B_HUMAN,0.313606,0.686394,422,422,0.348293,0.517343
sp|P03095|VP2_POVJC,2,sp|Q9NVI7|ATD3A_HUMAN,0.331064,0.668936,422,422,0.372065,0.520500
sp|P03095|VP2_POVJC,3,sp|P49585|PCY1A_HUMAN,0.354831,0.645169,422,422,0.205206,0.425187
sp|P03095|VP2_POVJC,4,sp|Q96TA2|YMEL1_HUMAN,0.356442,0.643558,422,422,0.219713,0.431635
sp|P03095|VP2_POVJC,5,sp|Q9Y5K3|PCY1B_HUMAN,0.358348,0.641652,422,422,0.205206,0.423429
sp|P03083|ST_POVJC,1,sp|Q9UKB3|DJC12_HUMAN,0.272373,0.727627,728,728,0.363580,0.545603
sp|P03083|ST_POVJC,2,sp|Q9H3Z4|DNJC5_HUMAN,0.289982,0.710018,252,728,0.379589,0.544803
sp|P03083|ST_POVJC,5,sp|Q8TBM8|DJB14_HUMAN,0.303285,0.696715,252,728,0.434781,0.565748
sp|Q83883|POLG_NVN68,1,sp|Q5T9A4|ATD3B_HUMAN,0.210242,0.789758,422,422,0.419542,0.604650
sp|Q83883|POLG_NVN68,2,sp|Q9NV66|TYW1_HUMAN,0.212793,0.787207,422,422,0.293949,0.540578
sp|Q83883|POLG_NVN68,3,sp|Q9NVI7|ATD3A_HUMAN,0.225777,0.774223,422,422,0.472795,0.623509
sp|Q83883|POLG_NVN68,5,sp|Q6NUM6|TYW1B_HUMAN,0.233065,0.766935,422,422,0.293938,0.530437
sp|Q83884|CAPSD_NVN68,1,sp|O75592|MYCB2_HUMAN,0.290503,0.709497,423,423,0.188532,0.449015
sp|Q83884|CAPSD_NVN68,2,sp|Q5T4S7|UBR4_HUMAN,0.294109,0.705891,423,423,0.178464,0.442178
sp|Q83884|CAPSD_NVN68,3,sp|Q9ULT8|HECD1_HUMAN,0.300491,0.699509,423,423,0.200064,0.449786
sp|Q83884|CAPSD_NVN68,4,sp|P50851|LRBA_HUMAN,0.300826,0.699174,423,423,0.251632,0.475403
sp|Q83884|CAPSD_NVN68,5,sp|A3KMH1|VWA8_HUMAN,0.302075,0.697925,423,423,0.192291,0.445108
sp|Q83885|VP2_NVN68,2,sp|Q01196|RUNX1_HUMAN,0.295651,0.704349,410,410,0.233632,0.468990
sp|Q83885|VP2_NVN68,3,sp|Q13950|RUNX2_HUMAN,0.300007,0.699993,410,410,0.268137,0.484065
sp|Q83885|VP2_NVN68,4,sp|Q13761|RUNX3_HUMAN,0.301616,0.698384,410,410,0.254767,0.476576
sp|Q83885|VP2_NVN68,5,sp|Q9NP62|GCM1_HUMAN,0.322936,0.677064,410,410,0.333767,0.505416
sp|Q672I1|POLG_SVSAP,1,sp|Q6PIW4|FIGL1_HUMAN,0.209112,0.790888,422,422,0.336722,0.563805
sp|Q672I1|POLG_SVSAP,2,sp|Q96TA2|YMEL1_HUMAN,0.209658,0.790342,422,422,0.274538,0.532440
sp|Q672I1|POLG_SVSAP,3,sp|Q5T9A4|ATD3B_HUMAN,0.229694,0.770306,422,422,0.360453,0.565380
sp|Q672I1|POLG_SVSAP,4,sp|P49585|PCY1A_HUMAN,0.240012,0.759988,422,422,0.312041,0.536015
sp|Q672I1|POLG_SVSAP,5,sp|Q6NUM6|TYW1B_HUMAN,0.241270,0.758730,422,422,0.325020,0.541875
sp|Q672H9|VP2_SVSAP,1,sp|Q5T9A4|ATD3B_HUMAN,0.287758,0.712242,422,422,0.329083,0.520663
sp|Q672H9|VP2_SVSAP,2,sp|Q9NVI7|ATD3A_HUMAN,0.297618,0.702382,422,422,0.346247,0.524314
sp|Q672H9|VP2_SVSAP,4,sp|Q96TA2|YMEL1_HUMAN,0.355325,0.644675,422,422,0.262134,0.453404
sp|Q672H9|VP2_SVSAP,5,sp|P49585|PCY1A_HUMAN,0.364012,0.635988,422,422,0.221156,0.428572
sp|P08617|POLG_HAVHM,1,sp|P53396|ACLY_HUMAN,0.212538,0.787462,584,584,0.168618,0.478040
sp|P08617|POLG_HAVHM,2,sp|Q7Z478|DHX29_HUMAN,0.213930,0.786070,584,584,0.329596,0.557833
sp|P08617|POLG_HAVHM,3,sp|Q8NB78|KDM1B_HUMAN,0.214038,0.785962,584,584,0.134848,0.460405
sp|P08617|POLG_HAVHM,4,sp|Q6P158|DHX57_HUMAN,0.214947,0.785053,584,584,0.311711,0.548382
sp|P08617|POLG_HAVHM,5,sp|P29475|NOS1_HUMAN,0.216592,0.783408,584,584,0.155484,0.469446
sp|Q81862|POLN_HEVCH,1,sp|Q9C091|GRB1L_HUMAN,0.188868,0.811132,837,837,0.238036,0.524584
sp|Q81862|POLN_HEVCH,2,sp|Q4ZG55|GREB1_HUMAN,0.193344,0.806656,837,837,0.250852,0.528754
sp|Q81862|POLN_HEVCH,3,sp|Q15751|HERC1_HUMAN,0.200456,0.799544,837,837,0.335897,0.567720
sp|Q81862|POLN_HEVCH,4,sp|Q8IWT3|CUL9_HUMAN,0.206292,0.793708,837,837,0.286613,0.540160
sp|Q81862|POLN_HEVCH,5,sp|Q9NU22|MDN1_HUMAN,0.209517,0.790483,837,837,0.364450,0.577466
sp|Q81871|CAPSD_HEVCH,1,sp|Q4ZHG4|FNDC1_HUMAN,0.285752,0.714248,885,885,0.335130,0.524689
sp|Q81871|CAPSD_HEVCH,2,sp|Q8IUL8|CILP2_HUMAN,0.288208,0.711792,885,885,0.385455,0.548624
sp|Q81871|CAPSD_HEVCH,3,sp|O60477|BRNP1_HUMAN,0.291605,0.708395,885,885,0.418574,0.563484
sp|Q81871|CAPSD_HEVCH,4,sp|Q76B58|BRNP3_HUMAN,0.297326,0.702674,885,885,0.365606,0.534140
sp|Q81871|CAPSD_HEVCH,5,sp|Q9C0B6|BRNP2_HUMAN,0.298492,0.701508,885,885,0.380572,0.541040
sp|Q81870|ORF3_HEVCH,3,sp|Q01196|RUNX1_HUMAN,0.227041,0.772959,410,410,0.316293,0.544626
sp|Q81870|ORF3_HEVCH,4,sp|Q13761|RUNX3_HUMAN,0.235614,0.764386,410,410,0.325543,0.544964
sp|Q81870|ORF3_HEVCH,5,sp|P26651|TTP_HUMAN,0.237344,0.762656,410,410,0.499435,0.631046
sp|O73556|POLG_HPE2W,1,sp|Q9NV66|TYW1_HUMAN,0.201873,0.798127,422,422,0.264491,0.531309
sp|O73556|POLG_HPE2W,2,sp|Q6NUM6|TYW1B_HUMAN,0.226760,0.773240,422,422,0.264486,0.518863
sp|O73556|POLG_HPE2W,3,sp|P15918|RAG1_HUMAN,0.226915,0.773085,422,422,0.311315,0.542200
sp|O73556|POLG_HPE2W,4,sp|Q5T9A4|ATD3B_HUMAN,0.249415,0.750585,422,422,0.311127,0.530856
sp|O73556|POLG_HPE2W,5,sp|Q96TA2|YMEL1_HUMAN,0.253131,0.746869,422,422,0.189954,0.468412
sp|O12792|CAPSD_HASV1,1,sp|O60477|BRNP1_HUMAN,0.285501,0.714499,885,885,0.220405,0.467452
sp|O12792|CAPSD_HASV1,2,sp|Q14703|MBTP1_HUMAN,0.285696,0.714304,885,885,0.304551,0.509427
sp|O12792|CAPSD_HASV1,3,sp|Q9UBS9|SUCO_HUMAN,0.291869,0.708131,885,885,0.197653,0.452892
sp|O12792|CAPSD_HASV1,4,sp|O75339|CILP1_HUMAN,0.292001,0.707999,885,885,0.191071,0.449535
sp|O12792|CAPSD_HASV1,5,sp|Q96S66|CLCC1_HUMAN,0.297518,0.702482,885,885,0.147226,0.424854
sp|P0C6K4|NS1A_HASV1,1,sp|Q14703|MBTP1_HUMAN,0.286435,0.713565,885,885,0.552995,0.633280
sp|P0C6K4|NS1A_HASV1,2,sp|Q76B58|BRNP3_HUMAN,0.295281,0.704719,885,885,0.255064,0.479892
sp|P0C6K4|NS1A_HASV1,3,sp|O60477|BRNP1_HUMAN,0.300169,0.699831,885,885,0.288634,0.494233
sp|P0C6K4|NS1A_HASV1,4,sp|Q4ZHG4|FNDC1_HUMAN,0.303750,0.696250,885,885,0.370745,0.533498
sp|P0C6K4|NS1A_HASV1,5,sp|Q96S66|CLCC1_HUMAN,0.305306,0.694694,885,885,0.217695,0.456194
sp|Q67726|NS1AB_HASV1,1,sp|Q9NV66|TYW1_HUMAN,0.228521,0.771479,422,422,0.294345,0.532912
sp|Q67726|NS1AB_HASV1,2,sp|Q6NUM6|TYW1B_HUMAN,0.249845,0.750155,422,422,0.294344,0.522249
sp|Q67726|NS1AB_HASV1,3,sp|P15918|RAG1_HUMAN,0.251557,0.748443,422,422,0.364321,0.556382
sp|Q67726|NS1AB_HASV1,4,sp|Q96TA2|YMEL1_HUMAN,0.253144,0.746856,422,422,0.372262,0.559559
